"label","numbering","text"
"PEMBUKAAN (KONSIDERAN)","a","bahwa dalam rangka meningkatkan pertumbuhan ekonomi, pelayanan kepada masyarakat khususnya penyediaan modal usaha bagi usaha mikro, kecil, dan menengah, dan pengembangan bisnis pada Perseroan Terbatas Bank Perkreditan Rakyat Artha Kanjuruhan Pemerintah Kabupaten Malang;"
"PEMBUKAAN (KONSIDERAN)","b","bahwa berdasarkan ketentuan dalam Pasal 314 huruf c Undang-Undang Nomor 4 Tahun 2023 tentang Pengembangan dan Penguatan Sektor Keuangan, maka nomenklatur Bank Perkreditan Rakyat Artha Kanjuruhan Pemerintah Kabupaten Malang perlu disesuaikan;"
"PEMBUKAAN (KONSIDERAN)","c","bahwa berdasarkan pertimbangan sebagaimana dimaksud dalam huruf a dan huruf b, perlu menetapkan Peraturan Daerah tentang Perusahaan Perseroan Daerah Bank Perekonomian Rakyat Artha Kanjuruhan Pemerintah Kabupaten Malang;"
"PEMBUKAAN (KONSIDERAN)","d","jangka waktu berdiri;"
"PEMBUKAAN (KONSIDERAN)","e","modal dasar. BAB III NAMA DAN TEMPAT KEDUDUKAN Bagian Kesatu Nama Pasal 3"
