"label","numbering","text"
"PEMBUKAAN (DASAR HUKUM)","1","Undang-Undang Nomor 16 Tahun 1997 tentang Statistik (Lembaran Negara Republik Indonesia Tahun 1997 Nomor 39, Tambahan Lembaran Negara Republik Indonesia Nomor 3683);"
"PEMBUKAAN (DASAR HUKUM)","2","Peraturan Pemerintah Nomor 51 Tahun 1999 tentang Penyelenggaraan Statistik (Lembaran Negara Republik Indonesia Nomor 96 Tahun 1999, Tambahan Lembaran Negara Republik Indonesia Nomor 3854);"
"PEMBUKAAN (DASAR HUKUM)","3","Peraturan Presiden Nomor 86 Tahun 2007 tentang Badan Pusat Statistik (Lembaran Negara Republik Indonesia Tahun 2007 Nomor 139) sebagaimana telah diubah dengan Peraturan Presiden Nomor 1 Tahun 2025 tentang Perubahan atas Peraturan Presiden Nomor 86 Tahun 2007 tentang Badan Pusat Statistik (Lembaran Negara Republik Indonesia Tahun 2025 Nomor 4);"
"PEMBUKAAN (DASAR HUKUM)","4","Peraturan Badan Pusat Statistik Nomor 5 Tahun 2023 tentang Organisasi dan Tata Kerja Badan Pusat Statistik Provinsi dan Badan Pusat Statistik Kabupaten/Kota - 2 - (Berita Negara Republik Indonesia Tahun 2023 Nomor 429) sebagaimana telah diubah dengan Peraturan Badan Pusat Statistik Nomor 3 Tahun 2025 tentang Perubahan atas Peraturan Badan Pusat Statistik Nomor 5 Tahun 2023 tentang Organisasi dan Tata Kerja Badan Pusat Statistik Provinsi dan Badan Pusat Statistik Kabupaten/Kota (Berita Negara Republik Indonesia Tahun 2025 Nomor 683);"
"PEMBUKAAN (DASAR HUKUM)","5","Peraturan Badan Pusat Statistik Nomor 2 Tahun 2025 tentang Organisasi dan Tata Kerja Badan Pusat Statistik (Berita Negara Republik Indonesia Tahun 2025 Nomor 676); MEMUTUSKAN:"
